Tract_1,CIscore,Shape__Area,Shape__Length
6037900506,10,1948128.4453125,5911.16713790417
6037900505,12,1940127.59765625,5893.25493229665
6037900104,10,63053057.875,31799.2155338227
6037621204,9,1465947.70703125,5906.06961460467
6037621104,9,1373338.7890625,4730.149279928
6037621004,6,1275186.3203125,5803.70241055102
6037620904,7,863620.90625,4135.57580152907
6037620305,9,1833773.6171875,6980.61152278719
6037543306,13,6550193.9453125,15404.1788883288
6037542106,16,1327648.3828125,6001.03993189052
6037542105,12,908313.7578125,4423.6488851629
6037900103,8,29346387.5546875,23673.0414425066
6037800506,4,38184990.0078125,35208.9406095746
6037800504,5,31216909.171875,39745.6605104796
6037800410,4,54688016.1171875,45466.199760009
6037800408,4,22579045.5117188,31999.1963882384
6037800406,4,133435602.945313,70464.1021066356
6037800332,4,7030187.03515625,12579.7759590512
6037800330,4,41605284.2578125,44507.8190181114
6037800329,5,33055408.328125,31190.2921211817
6037573601,7,5390719.375,11843.419578479
6037571504,9,2232367.453125,6167.61187296
6037571503,9,1322973.76171875,5546.64517152312
6037570404,13,1251094.109375,5714.34068884838
6037267404,13,415364.4453125,2715.62980898564
6037113237,10,6958790.42578125,13420.2585668471
6037102107,7,18951622.5195313,23457.0896018189
6037102104,10,2434546.6796875,10150.6033993227
6037111205,8,1702495.44921875,5428.84869671927
6037108202,7,8800902.73828125,13430.411896014
6037106649,10,1623789.84375,7647.35798671743
6037106646,6,2165408.33984375,8642.3904923657
6037106406,8,3063600.140625,7896.31802706721
6037104203,12,1039467.53125,4082.24895432569
6037265602,9,486842.7890625,3415.81475597521
6037293306,9,908002.2578125,4241.62113023742
6037276604,11,1217302.828125,5824.16247819601
6037276603,8,664558.234375,3740.31473759177
6037269907,13,405330.82421875,2805.95431427901
6037269906,14,304266.69140625,2746.04101051621
6037267901,11,1628267.390625,5589.44333170465
6037434004,15,993422.65625,4383.81055324196
6037434003,15,1428666.3984375,5928.92558706038
6037433504,20,1339997.046875,5840.46758862911
6037433307,12,615892.24609375,4678.20991872164
6037104108,13,1604275.79296875,6993.08739686666
6037402904,12,2791339.56640625,7646.70985098874
6037402903,16,2334489.890625,6262.97192172449
6037402804,14,1910653.2109375,5940.15230143887
6037402803,11,919960.75,3897.71035863191
6037402706,11,1573469.765625,5112.02095885963
6037402705,9,1263145.1796875,4778.83611662479
6037402405,13,1307247.3671875,5246.94388946974
6037604002,12,944938.40625,3808.01132578468
6037604001,13,964257.6953125,3928.36035823106
6037603802,12,919567.8515625,3858.33293897211
6037433306,12,634151.48828125,4471.11059419482
6037433305,15,741484.89453125,4547.65395854348
6037433304,16,1157722.38671875,4686.84371930699
6037431502,8,2986148.390625,8189.87736768607
6037431501,14,1520553.66015625,5629.76473198265
6037430301,5,35672877.2695313,31391.8328502025
6037430003,4,17457456.3671875,27893.127939514
6037603801,12,969275.53125,3976.82261490776
6037603006,11,999136.2890625,4023.49612125475
6037603005,16,946563.9765625,3891.66574754563
6037602802,11,1949913.58984375,5885.12766326013
6037602801,17,1833197.7578125,5792.43668423159
6037602509,14,2981272.59375,8321.36418012032
